date,text,grid,template,src
,"One year after footage of a white cop shooting a black teen went public, what has changed for the city and its police reform efforts?",,main,
,----------------------------------,,main,
,"The deadly Chicago police shooting of 17-year-old Laquan McDonald lasted only a few seconds but the fallout from the grim images, caught on a police dashboard camera, continue to this day.",,main,
,"Since the city released the video on Nov. 24, 2015, it has been viewed by millions, but one person has refused to watch it.",,main,
,"“I don’t think, to this day, that she has watched the video,” said Michael Robbins, one of the attorneys who represented McDonald’s mother, Tina Hunter. “And then of course it became wallpaper, if you will, on the 24-hour news cycle and it went on and on and it’s everywhere. And it drove home her loss.”",,main,
,"Hunter never wanted the video to go public, Robbins said, but she knew it was a possibility.",,main,
,"Attorney Jeffrey Neslund, who also represented Hunter, said the video’s release tortured her.",,main,
,"“You don’t know when it’s going to pop up on the news or in the newspaper, and this is her son,” Neslund said.",,main,
,"Mayor Rahm Emanuel’s administration also didn’t want it to come out, but for different reasons. Officials argued making the video public would compromise investigations into the shooting. But a Cook County judge disagreed and ordered for the video to be released.",,main,
,"And a chain reaction took place after the video was made public. WBEZ presents this timeline of events following the McDonald shooting, from the resignations of top law-enforcement officials to an overhaul of the city agency tasked with investigating shootings by officers and police misconduct.",,main,
"Oct. 20, 2014",,,date,
,"<li>  Chicago Police Officer Jason Van Dyke shot Laquan McDonald 16 times after he responded to a police-radio dispatch requesting help for officers pursuing a knife-wielding male who allegedly had been breaking into trucks on the Southwest Side. </li><li>  Pat Camden, a spokesman for the Fraternal Order of Police Lodge No. 7 in Chicago, told reporters McDonald approached officers with a knife. O fficers at the scene during the shooting made similar claims in written reports and interviews. </li><li>  Camden told the <a href=""http://chicago.suntimes.com/news/boy-17-shot-to-death-by-police-on-southwest-side-identified/""> Chicago Sun-Times </a> McDonald had a “strange gaze about him.” </li><li>  ""When police tell you to drop a weapon, all you have to do is drop it,"" Camden told the <a href=""http://www.chicagotribune.com/news/local/breaking/chi-chicago-shootings-violence-20141021-story.html""> Chicago Tribune. </a> </li>",,list,
"Nov. 7, 2014",,,date,
,"<li>  McDonald’s mother, Tina Hunter, hired attorneys Jeffrey Neslund and Michael Robbins. </li>",,list,
,"<p> Neslund and Robbins say the shooting didn’t immediately stand out. But when they started researching what had been reported in the news they discovered one wrinkle. </p><p> “The only discordant note was there was a young woman who was briefly interviewed at the scene, and she said something to the effect that they didn’t have to shoot him,” Robbins says. “It didn’t make any sense.” </p>",,reflection,
"Dec. 8, 2014",,,date,
,"<li>  Independent journalist Jamie Kalven and University of Chicago law professor Craig Futterman published an <a href=""http://invisible.institute/news/2014/laquan-mcdonald""> article </a> that cited an eyewitness who claimed McDonald was walking away from officers. The article noted a dashcam could have recorded the shooting and urged the city to release the video. </li>",,list,
,"<p> “Maybe 10 days after the incident, a whistleblower had reached out, saying what had been reported in the media was far from the reality, that the incident was horrific and that there was dashcam video,” Kalven told WBEZ. </p>",,reflection,
,"<li>  Scott Ando, chief administrator of the Independent Police Review Authority, the agency tasked with investigating police shootings, emailed the article to Janey Rountree, public safety liaison for Mayor Rahm Emanuel. </li>",,list,
"Feb. 10, 2015",,,date,
,"<li>  <a href=""http://www.slate.com/articles/news_and_politics/politics/2015/02/laquan_mcdonald_shooting_a_recently_obtained_autopsy_report_on_the_dead.html""> In an article for Slate </a>, Kalven said the autopsy report did not support claims the officer acted in self-defense. </li>",,list,
,"<p> “The moment that the autopsy report was available, I rushed down, got it and immediately opened it in the car and began reading it,” Kalven says. “And there’s a sense in which the corpse testifies (and) tells its own story. I mean, this was, I think, the moment when it’s fair to say that the city’s narrative couldn’t possibly be true.” </p>",,reflection,
"Feb. 24, 2015",,,date,
,"<li>  In the municipal election, Emanuel received less than half the total votes and was forced into a runoff against the second-highest vote getter, Cook County Commissioner Jesús “Chuy” García. It was the first time a Chicago mayor had been forced into a runoff since the city switched to nonpartisan elections 20 years e arlier. </li>",,list,
"March 3-6, 2015",,,date,
,"<li>  Robbins and Neslund, the attorneys for McDonald’s mother, proposed a $16 million settlement with the city — $1 million for each time the teenager was shot. </li><li>  In a letter to city Deputy Corporation Counsel Thomas Platt, Robbins and Neslund said dashboard-camera video contradicted the FOP spokesman’s account. </li><li>  “Contrary to the false statements the city allowed the FOP spokesman to spin to the media, the dash cam confirms that Mr. McDonald did not ‘lunge’ toward the police,” the attorneys wrote. “In complete contradistinction, the dash cam establishes Laquan was walking on angle 10-15 feet away from the officers at the time of the shooting.” </li>",,list,
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image02.jpg
,"Attorneys Michael Robbins, left, and Jeffrey Neslund, counsel for the mother of 17-year-old Laquan McDonald, talk to reporters Nov. 19, 2015. (AP Photo/Charles Rex Arbogast)",,caption,
"April 7, 2015",,,date,
,"<li>  In a runoff election, Emanuel received 56 percent of the vote, winning his second term as mayor. </li><li>  “To all the voters, I want to thank you for putting me through my paces,” Emanuel said during his victory speech. “I will be a better mayor because of that.” </li>",,list,
"April 8, 2015",,,date,
,<li>  McDonald’s mother authorized her attorneys to settle with the city for $5 million. </li>,,list,
"April 13-15, 2015",,,date,
,<li>  The City Council approved the proposed settlement in a 47-0 vote despite not having seen the video of the shooting. </li><li>  Aldermen also approved a $5.5 million reparations fund for victims of torture under former Chicago Police Cmdr. Jon Burge. </li>,,list,
"May 26, 2015",,,date,
,"<li>  NBC 5’s Carol Marin reported that surveillance video from a Burger King near the McDonald shooting site was <a href=""http://www.nbcchicago.com/investigations/laquan-mcdonald-investigation-305105631.html""> missing 86 minutes </a> from the night teen was shot. The restaurant’s manager claimed police deleted parts of the recording, but Cook County State’s Attorney Anita Alvarez said later that forensic tests showed no intentional tampering of the recording. </li>",,list,
"Aug. 5, 2015",,,date,
,<li>  Freelance reporter Brandon Smith sued the city a day after the police department denied a Freedom of Information Act request for the police dashboard camera videos from the shooting scene. </li>,,list,
,"<p> “When I started the lawsuit, I wasn’t expecting a huge outcry,” Smith tells WBEZ. “I was expecting to get a good story out of it. I was pleasantly surprised, basically. A lot of folks latched on. You know, part of that, I later learned, was kind of a PR push by the law firm that I worked with, so that was useful.” </p>",,reflection,
"Oct. 5, 2015",,,date,
,<li>  The City Council’s Black Caucus claimed that a change in leadership was needed to curb an increase in the city's gun violence and called on Emanuel to fire police Supt. Garry McCarthy. </li>,,list,
"Oct. 8, 2015",,,date,
,"<li>  Emanuel blamed a rise in crime on police officers second-guessing themselves. </li><li>  “We have allowed our police department to get fetal and it is having a direct consequence,” Emanuel said, <a href=""https://www.washingtonpost.com/news/post-nation/wp/2015/10/08/youtube-effect-has-left-police-officers-under-siege-law-enforcement-leaders-say/?utm_term=.eabdb3a5f2f3""> according to the Washington Post </a>. “They have pulled back from the ability to interdict.… They don’t want to be a news story themselves, they don’t want their career ended early, and it’s having an impact.” </li>",,list,
"Nov. 19, 2015",,,date,
,"<li>  A Cook County judge sided with Smith, the freelance reporter, and ordered the city to release the video by Nov. 25. </li>",,list,
"Nov. 24, 2015",,,date,
,<li>  Prosecutors charged Van Dyke with first-degree murder. </li>,,list,
,"<div class=""DC-embed DC-embed-page"" data-version=""1.1"">  <div style=""font-size:10pt;line-height:14pt;"">    Page 1 of <a class=""DC-embed-resource"" href=""https://www.documentcloud.org/documents/3224090-20151124-Bond-Proffer-for-Van-Dyke.html#document/p1"" title=""View entire 20151124 Bond Proffer for Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">20151124 Bond Proffer for Van Dyke</a>  </div>  <img src=""//assets.documentcloud.org/documents/3224090/pages/20151124-Bond-Proffer-for-Van-Dyke-p1-normal.gif?1479825001"" srcset=""//assets.documentcloud.org/documents/3224090/pages/20151124-Bond-Proffer-for-Van-Dyke-p1-normal.gif?1479825001 700w, //assets.documentcloud.org/documents/3224090/pages/20151124-Bond-Proffer-for-Van-Dyke-p1-large.gif?1479825001 1000w"" alt=""Page 1 of 20151124 Bond Proffer for Van Dyke"" style=""max-width:100%;height:auto;margin:0.5em 0;border:1px solid #ccc;-webkit-box-sizing:border-box;box-sizing:border-box;clear:both"">  <div style=""font-size:8pt;line-height:12pt;text-align:center"">    Contributed to    <a href=""https://www.documentcloud.org/"" title=""Go to DocumentCloud in new window or tab"" target=""_blank"" style=""font-weight:700;font-family:Gotham,inherit,sans-serif;color:inherit;text-decoration:none"">DocumentCloud</a> by    <a href=""https://www.documentcloud.org/public/search/Account:9732-chris-hagan"" title=""View documents contributed to DocumentCloud by Chris Hagan in new window or tab"" target=""_blank"">Chris Hagan</a> of    <a href=""https://www.documentcloud.org/public/search/Group:wbez"" title=""View documents contributed to DocumentCloud by WBEZ in new window or tab"" target=""_blank"">WBEZ</a> &bull;    <a href=""https://www.documentcloud.org/documents/3224090-20151124-Bond-Proffer-for-Van-Dyke.html#document/p1"" title=""View entire 20151124 Bond Proffer for Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">View document</a> or    <a href=""https://www.documentcloud.org/documents/3224090/pages/20151124-Bond-Proffer-for-Van-Dyke-p1.txt"" title=""Read the text of page 1 of 20151124 Bond Proffer for Van Dyke on DocumentCloud in new window or tab"" target=""_blank"">read text</a>  </div></div><script src=""//assets.documentcloud.org/embed/loader/enhance.js""></script>",,document,
,"<li>  Cook County State’s Attorney Anita Alvarez defended the time it took to file charges, saying cases against officers can be complex. </li><li>  ABC Channel 7 reported it had <a href=""http://abc7chicago.com/news/cpd-dash-cam-video-shows-police-shooting-laquan-mcdonald/1098065/""> obtained a copy </a> of the video, which drew the attention of the Emanuel administration. </li><li>  Emanuel and Police Supt. Garry McCarthy held a press conference before giving newsrooms access to the video online. </li><li>  Emanuel attended the city’s Christmas tree-lighting ceremony in Millennium Park as protests began throughout the city. </li>",,list,
,"<p> “It was like my heart stopped, because I couldn’t believe that it was happening and that it was happening on live television,” says Richard Wooten, a retired Chicago police officer, of the video’s release. “But I’m glad it was shown because it brought awareness to changes that needed to be made within our department at this present date and time.... </p><p> “That was an execution. And it hurt me because it was like, ‘Wow, that could’ve been my son.’ ” </p>",,reflection,
,Feder: Chicago TV Airs Laquan McDonald Video Early And Often,,link,http://www.robertfeder.com/2015/11/25/laquan-mcdonald-video-airs-early-and-often/
,WBEZ: Officer Who Killed Laquan McDonald Lacked Crisis Training,,link,https://www.wbez.org/shows/wbez-news/officer-who-killed-laquan-mcdonald-lacked-crisis-training/3001e714-20ee-46a4-973b-cc5ab5b86511
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image04.jpg
,Police Officer Jason Van Dyke is booked into the Cook County Jail. (Cook County Sheriff’s Office via AP),,caption,
"Nov. 25-27, 2015",,,date,
,<li>  Protests reached a crescendo on Black Friday as hundreds marched down the Magnificent Mile and blocked shoppers from entering stores. </li>,,list,
,"<p> “We had been reached out to by the mayor’s office to calm the streets or whatever in some meeting in preparation for this tape,” says poet-activist Malcolm London. “We didn’t want to be a part of those people who were telling people to calm down, because we’re not in a calm moment.” </p>",,reflection,
,WBEZ story: Why Chicago Didn’t Riot After Laquan McDonald Video Release,,link,https://www.wbez.org/shows/wbez-news/why-chicago-didnt-riot-after-laquan-mcdonald-video-release/eeada674-379d-45e2-8899-e3b34ed02f36
,"WBEZ story: ‘Before You Watch This, I Want You to Know You Are Loved’",,link,https://www.wbez.org/shows/wbez-news/before-you-watch-this-i-want-you-to-know-you-are-loved/980569cc-6845-463b-9f7b-7b2c74bbb9f3
,NPR story: What Chicago Students Are Saying About Last Year’s Police Shooting Of A Teen,,link,http://www.npr.org/2015/11/26/457517690/what-chicago-students-are-saying-about-last-years-police-shooting-of-a-teen
,WBEZ story: Analyzing Politics And Aftermath Of The Laquan McDonald Video,,link,https://www.wbez.org/shows/wbez-news/analyzing-politics-and-aftermath-of-the-laquan-mcdonald-video/49ae1f21-0147-42d0-8f19-ec6993fa7998
,,col-xs-12 col-md-10 col-md-offset-1,photo,images/image03.jpg
,"Protesters make their way up North Michigan Avenue on Nov. 27, 2015, in Chicago. (AP Photo/Nam Y. Huh)",,caption,
"Dec. 1, 2015",,,date,
,"<li>  The Chicago Sun-Times editorial board called for police Supt. <a href=""http://chicago.suntimes.com/opinion/editorial-police-supt-garry-mccarthy-must-go/""> McCarthy to resign </a>. </li><li>  “McCarthy’s resignation is an essential first step for a city that must pursue new strategies to curtail gun violence and reform an unhealthy police culture of weak accountability,” the board wrote. </li><li>  Speaking to <a href=""http://wgnradio.com/2015/12/01/supt-garry-mccarthy-obviously-where-theres-smoke-theres-fire/""> WGN-AM 720’s Steve Cochran </a>, McCarthy hinted that the release of the video was affecting him. “How am I? I’m a little busy and a little stressed out, but I’m staying the course,” McCarthy told Cochran. </li><li>  During his media blitz, McCarthy was called to the mayor’s office, where Emanuel asked and received McCarthy’s resignation. </li><li>  Emanuel announced First Deputy Supt. John Escalante would take over as interim superintendent and unveiled a task force charged with recommending new ways to hold police accountable. </li><li>  Illinois Attorney General Lisa Madigan called for a federal probe into the Chicago Police Department. </li><li>  “The McDonald shooting is shocking, and it highlights serious questions about the historic, systemic use of unlawful and excessive force by Chicago police officers and the lack of accountability for such abuse by CPD,” Madigan wrote in a letter to U.S. Attorney General Loretta Lynch. </li>",,list,
"Dec. 2, 2015",,,date,
,"<li>  Emanuel said he <a href=""http://www.politico.com/story/2015/12/rahm-emanuel-no-resign-216346""> opposed a possible U.S. Department of Justice investigation into the police department </a> and noted that the FBI and U.S. attorney’s office were already investigating the McDonald shooting. </li><li>  ""I think an additional layer prior to the completion of this, in my view, would be misguided,"" he said. </li><li>  <a href=""http://chicago.suntimes.com/politics/sweet-hillary-clinton-calls-for-federal-probe-of-chicago-police-department/""> Hillary Clinton called for a federal </a> as she campaigned for the Democratic nomination for president. </li>",,list,
,Morning Shift: Community Voices Talk Mayoral Task Force On Police,,link,https://www.wbez.org/shows/morning-shift/community-voices-talk-mayoral-task-force-on-police/5daefa99-b519-4bc4-9421-f58f0390e7d2
,Morning Shift: How Good Of A CPD Superintendent Was Garry McCarthy?,,link,https://www.wbez.org/shows/morning-shift/how-good-of-a-cpd-superintendent-was-garry-mccarthy/73534b9c-93e4-468b-a809-11cc4b45eb55
"Dec. 3, 2015",,,date,
,"<li>  Emanuel <a href=""http://www.npr.org/2015/12/03/458309968/chicago-mayor-emanuel-now-says-he-welcomes-federal-investigation""> said he welcomed </a> a Justice Department probe. </li>",,list,
"Dec. 4, 2015",,,date,
,<li>  The city released hundreds of pages of police reports that offered accounts at odds with what appeared in the video. </li>,,list,
,"<p> “I believe, probably, a lot of those officers were stunned at what they were seeing,” says Richard Wooten, a retired Chicago police officer. “And probably what was going through their minds was, ‘Aw man, how do I get away from this?’ A lot of officers, when we see things happening that we know are not right, we immediately try to separate ourselves from that. But unfortunately the situation itself didn’t allow them to actually disassociate themselves because they were already listed as being on the scene.” </p>",,reflection,
,"WBEZ: How Chicago’s Political Leaders Are Handling Questions About Race, Police ...",,link,https://www.wbez.org/shows/wbez-news/how-chicagos-political-leaders-are-handling-questions-about-race-police-use-of-force/ff5cbf7b-a087-4486-922d-e09ca8008e7e
"Dec. 6, 2015",,,date,
,"<li>  Ando, the chief administrator for the Independent Police Review Authority, resigned as the agency’s <a href=""http://www.chicagoreader.com/chicago/chicago-police-department-shooting-kevin-fry-cops-cedrick-chatman/Content?oid=17767928""> record </a> of almost always siding with police in misconduct investigations came under greater scrutiny. </li><li>  Emanuel announced Sharon Fairley, a former assistant U.S. attorney who worked in the city’s inspector general office, would head IPRA. </li><li>  Constantine “Dean” Andrews, the department’s chief of detectives, resigned. </li>",,list,
"Dec. 7, 2015",,,date,
,"<li>  U.S. Attorney General Loretta Lynch announced <a href=""https://www.justice.gov/opa/video/justice-department-opens-pattern-or-practice-investigation-chicago-police-department""> a federal probe </a> into the Chicago Police Department. </li><li>  “If we discover unconstitutional patterns or practices, the Department of Justice will announce them publicly, seek a court-enforceable agreement with the Chicago Police Department and work with the city to implement appropriate reforms,” she said. </li>",,list,
,WBEZ story: How A ‘Fed Up’ Source Sparked A Federal Investigation In Chicago,,link,https://www.wbez.org/shows/wbez-news/how-a-fed-up-source-sparked-a-federal-investigation-in-chicago/a7786422-67ff-40cb-90aa-5fef746c7d1c
